cycleNo	real_time	time	sim_strain_normal	sim_strain	strain	strain_t	force	stress	Stress_Phase1	Stress_Phase2	stress_t	Stress_Phase1_t	Stress_Phase2_t	Strain_Phase1_t	Strain_Phase2_t
0	2.4	0.0001	0.000001	0.00001	0.000001	0.00001	0.002037183	2.263536968	1.77E+00	4.13E+00	2.26	1.77	4.13	0.00E+00	0.00E+00
0	2.5	0.1	0.00667	0.0001	0.0001	9.9995E-05	0.004488169	4.986854884	3.90E+00	9.09E+00	4.99	3.90	9.09	7.81E-05	1.82E-04
0	2.6	0.2	0.00667	0.0001	0.0001	9.9995E-05	0.007957747	8.841941283	6.91E+00	1.61E+01	8.84	6.91	16.12	7.81E-05	1.82E-04
0	2.7	0.3	0.00667	0.0001	0.0001	9.9995E-05	0.012032114	13.36901522	1.04E+01	2.44E+01	13.37	10.45	24.37	7.81E-05	1.82E-04
0	2.8	0.4	0.01333	0.0002	0.0002	0.00019998	0.016711269	18.56807669	1.45E+01	3.38E+01	18.57	14.51	33.85	1.56E-04	3.64E-04
0	2.9	0.5	0.01333	0.0002	0.0002	0.00019998	0.02221803	24.68670006	1.93E+01	4.50E+01	24.69	19.29	45.00	1.56E-04	3.64E-04
0	3	0.6	0.02000	0.0003	0.0003	0.000299955	0.027501974	30.55774907	2.39E+01	5.57E+01	30.57	23.88	55.71	2.34E-04	5.47E-04
0	3.1	0.7	0.02667	0.0004	0.0004	0.00039992	0.033613524	37.34835998	2.92E+01	6.81E+01	37.36	29.19	68.10	3.12E-04	7.29E-04
0	3.2	0.8	0.02667	0.0004	0.0004	0.00039992	0.039534088	43.92676429	3.43E+01	8.01E+01	43.94	34.34	80.09	3.12E-04	7.29E-04
0	3.3	0.9	0.03333	0.0005	0.0005	0.000499875	0.045836624	50.92958179	3.98E+01	9.28E+01	50.96	39.81	92.87	3.91E-04	9.11E-04
0	3.4	1	0.04000	0.0006	0.0006	0.00059982	0.052361976	58.17997364	4.55E+01	1.06E+02	58.21	45.49	106.10	4.69E-04	1.09E-03
0	3.5	1.1	0.04667	0.0007	0.0007	0.000699755	0.058664512	65.18279114	5.09E+01	1.19E+02	65.23	50.96	118.89	5.47E-04	1.28E-03
0	3.6	1.2	0.05333	0.0008	0.0008	0.00079968	0.065380851	72.64538958	5.68E+01	1.32E+02	72.70	56.81	132.51	6.25E-04	1.46E-03
0	3.7	1.3	0.06667	0.001	0.001	0.0009995	0.072320006	80.35556238	6.28E+01	1.46E+02	80.44	62.85	146.60	7.81E-04	1.82E-03
0	3.8	1.4	0.07333	0.0011	0.0011	0.001099395	0.078845359	87.60595423	6.84E+01	1.60E+02	87.70	68.52	159.85	8.59E-04	2.00E-03
0	3.9	1.5	0.08667	0.0013	0.0013	0.001299156	0.085147895	94.60877173	7.39E+01	1.72E+02	94.73	74.02	172.66	1.02E-03	2.37E-03
