time,x,y
0.0001,0.0,1.77
0.1,7.81e-05,3.9
0.2,7.81e-05,6.91
0.3,7.81e-05,10.45
0.4,0.000156,14.51
0.5,0.000156,19.29
0.6,0.000234,23.88
0.7,0.000312,29.19
0.8,0.000312,34.34
0.9,0.000391,39.81
1.0,0.000469,45.49
1.1,0.000547,50.96
1.2,0.000625,56.81
1.3,0.000781,62.85
1.4,0.000859,68.52
1.5,0.00102,74.02
1.6,0.00109,79.7
1.7,0.00125,85.03
1.8,0.00133,89.82
1.9,0.00148,94.44
2.0,0.00164,99.25
2.1,0.00179,103.7
2.2,0.00195,107.79
2.3,0.00203,111.71
2.4,0.00226,115.46
2.5,0.00242,118.7
2.6,0.00257,121.55
2.7,0.00273,124.23
2.8,0.00289,126.39
2.9,0.00312,128.73
3.0,0.00335,130.38
3.1,0.00359,131.64
3.2,0.00374,132.56
3.3,0.00382,133.46
3.4,0.00397,134.74
3.5,0.00421,135.86
3.6,0.00429,136.21
3.7,0.00444,137.12
3.8,0.0046,138.04
3.9,0.00467,138.41
4.0,0.00483,138.97
4.1,0.00498,139.89
4.2,0.00506,140.63
4.3,0.0053,141.92
4.4,0.00545,142.31
4.5,0.00553,142.49
4.6,0.00568,142.52
4.7,0.00576,143.26
4.8,0.00584,143.08
4.9,0.00592,143.28
5.0,0.00592,143.09
5.7,0.00762,152.33
5.8,0.00801,153.5
5.9,0.00847,155.18
6.0,0.00886,155.98
6.1,0.00924,157.12
6.2,0.00955,158.08
6.3,0.00994,159.25
6.4,0.0103,160.22
6.5,0.0106,160.82
6.6,0.0109,161.04
6.7,0.0111,161.81
6.8,0.0112,162.21
6.9,0.0115,162.42
7.0,0.0116,162.8
7.1,0.0117,162.84
7.2,0.0118,162.32
7.3,0.0119,162.5
7.4,0.0119,161.99
7.5,0.0119,160.72
7.6,0.0119,159.99
7.7,0.0119,158.93
7.8,0.0119,157.67
7.9,0.0119,155.34
8.0,0.0119,152.63
8.1,0.0119,149.04
8.2,0.0118,144.37
8.3,0.0118,138.98
8.4,0.0117,131.95
8.5,0.0116,123.85
8.6,0.0115,115.76
8.7,0.0114,106.94
8.8,0.0113,96.73
8.9,0.0112,85.22
9.0,0.011,73.01
9.1,0.0109,60.24
9.2,0.0107,46.25
9.3,0.0106,31.74
9.4,0.0103,16.66
9.5,0.0101,1.96
9.6,0.00986,-12.54
9.7,0.00963,-25.6
9.8,0.00932,-38.48
9.9,0.00901,-51.35
10.0,0.00862,-64.01
10.1,0.00816,-75.59
10.2,0.0077,-86.09
10.3,0.00716,-96.02
10.4,0.00661,-104.17
10.5,0.00607,-111.04
10.6,0.00553,-117.19
10.7,0.00498,-122.45
10.8,0.00218,-156.6
10.9,0.00187,-158.14
11.0,0.00156,-159.85
11.1,0.00125,-161.36
11.2,0.00102,-162.2
11.3,0.000781,-162.71
11.4,0.000625,-163.36
11.5,0.000469,-163.86
11.6,0.000312,-164.18
11.7,0.000234,-164.69
11.8,7.81e-05,-164.66
11.9,7.81e-05,-164.33
12.0,0.0,-164.12
12.1,-7.81e-05,-163.74
12.2,-7.81e-05,-162.86
12.3,-7.81e-05,-161.28
12.4,-7.81e-05,-161.28
12.5,-7.81e-05,-159.68
12.6,0.0,-153.87
12.7,7.81e-05,-148.93
12.8,0.000156,-142.92
12.9,0.000156,-142.92
13.0,0.000156,-136.57
13.1,0.000312,-121.03
13.2,0.000469,-111.32
13.3,0.000547,-100.35
13.4,0.000547,-100.35
13.5,0.000703,-88.67
13.6,0.000937,-63.58
13.7,0.00109,-51.36
13.8,0.00125,-37.92
13.9,0.00125,-37.92
14.0,0.00141,-23.56
14.1,0.00179,8.14
14.2,0.00203,24.1
14.3,0.00234,39.75
14.4,0.00234,39.75
14.5,0.00265,55.37
14.6,0.00335,84.01
14.7,0.00382,96.5
14.8,0.00429,107.95
14.9,0.00429,107.95
15.0,0.00475,117.27
15.1,0.00584,132.22
15.2,0.00638,138.02
15.3,0.00685,142.73
15.4,0.00739,147.66
15.5,0.00793,151.5
15.6,0.00839,154.47
15.7,0.00878,157.23
15.8,0.00924,159.64
15.9,0.00963,161.51
16.0,0.01,163.18
16.1,0.0104,164.52
16.2,0.0106,165.47
16.3,0.0109,166.63
16.4,0.0112,166.85
16.5,0.0112,166.86
16.6,0.0114,167.26
16.7,0.0115,167.44
16.8,0.0116,167.46
16.9,0.0116,166.78
17.0,0.0117,166.79
17.1,0.0117,165.53
17.2,0.0117,163.37
17.3,0.0116,161.03
17.4,0.0116,157.44
17.5,0.0116,153.63
17.6,0.0116,149.71
17.7,0.0115,144.48
17.8,0.0114,138.55
17.9,0.0113,132.25
18.0,0.0112,124.17
18.1,0.0112,115.35
18.2,0.0111,106.73
18.3,0.0109,95.59
18.4,0.0109,83.75
18.5,0.0107,71.72
18.6,0.0106,58.62
18.7,0.0104,44.44
18.8,0.0102,31.53
18.9,0.0101,18.28
19.0,0.00986,3.75
19.1,0.00963,-10.74
19.2,0.0094,-25.59
19.3,0.00917,-41.16
19.4,0.00878,-56.51
19.5,0.00839,-71.34
19.6,0.00801,-83.81
19.7,0.00754,-95.37
19.8,0.00708,-106.35
19.9,0.00654,-115.92
20.0,0.00599,-123.5
20.1,0.00545,-130.37
20.2,0.00491,-136.15
20.3,0.00444,-141.04
20.4,0.0039,-145.39
20.5,0.00343,-149.05
20.6,0.00296,-152.15
20.7,0.00257,-154.9
20.8,0.00226,-156.81
20.9,0.00195,-158.32
21.0,0.00164,-160.23
21.1,0.00133,-161.57
21.2,0.00109,-162.41
21.3,0.000859,-163.25
21.4,0.000703,-163.91
21.5,0.000469,-164.22
21.6,0.000391,-164.56
21.7,0.000234,-165.24
21.8,0.000156,-165.23
21.9,7.81e-05,-164.85
22.0,0.0,-164.31
22.1,0.0,-163.76
22.2,0.0,-163.23
22.3,0.0,-162.54
22.4,0.0,-160.22
22.5,0.0,-157.04
22.6,7.81e-05,-153.0
22.7,0.000156,-147.87
22.8,0.000156,-142.23
22.9,0.000234,-135.17
23.0,0.000312,-127.55
23.1,0.000391,-119.6
23.2,0.000469,-110.77
23.3,0.000625,-100.53
23.4,0.000703,-89.56
23.5,0.000859,-78.95
23.6,0.000937,-68.01
23.7,0.00109,-54.9
23.8,0.00125,-40.91
23.9,0.00141,-26.94
24.0,0.00164,-12.05
24.1,0.00179,4.27
24.2,0.00211,21.11
24.3,0.00234,36.53
24.4,0.00265,51.63
24.5,0.00296,66.21
24.6,0.00335,79.76
24.7,0.00374,92.24
24.8,0.00421,103.3
24.9,0.00421,103.3
25.0,0.00467,113.51
25.1,0.00522,121.79
25.2,0.00568,128.8
25.3,0.00623,135.12
25.4,0.00677,140.77
25.5,0.00731,145.49
25.6,0.00777,149.15
25.7,0.00824,152.28
25.8,0.00878,155.44
25.9,0.00924,158.02
26.0,0.00963,159.72
26.1,0.00994,161.38
26.2,0.0102,162.53
26.3,0.0105,163.48
26.4,0.0108,164.61
26.5,0.011,165.19
26.6,0.0112,165.58
26.7,0.0113,166.35
26.8,0.0115,166.18
26.9,0.0116,165.5
27.0,0.0116,165.32
27.1,0.0116,164.98
27.2,0.0116,163.52
27.3,0.0116,161.92
27.4,0.0116,159.6
27.5,0.0116,156.52
27.6,0.0116,154.53
27.7,0.0115,150.03
27.8,0.0115,145.74
27.9,0.0114,140.34
28.0,0.0113,133.85
28.1,0.0112,125.59
28.2,0.0112,116.78
28.3,0.011,107.45
28.4,0.0109,96.85
28.5,0.0108,85.17
28.6,0.0107,74.04
28.7,0.0106,60.95
28.8,0.0104,47.33
28.9,0.0102,33.68
29.0,0.01,18.98
29.1,0.00986,3.22
29.2,0.00963,-11.11
29.3,0.0094,-25.42
29.4,0.00909,-39.89
29.5,0.00886,-53.83
29.6,0.00847,-67.77
29.7,0.00808,-80.94
29.8,0.0077,-92.88
29.9,0.00716,-104.25
30.0,0.00669,-113.99
30.1,0.00615,-121.74
30.2,0.00568,-128.63
30.3,0.00514,-135.13
30.4,0.0046,-140.54
30.5,0.00405,-145.05
30.6,0.00351,-148.87
30.7,0.00312,-151.98
30.8,0.00265,-154.75
30.9,0.00234,-157.15
31.0,0.00195,-158.85
31.1,0.00172,-160.24
31.2,0.00141,-161.76
31.3,0.00109,-162.94
31.4,0.000937,-163.79
31.5,0.000703,-164.27
31.6,0.000547,-165.12
31.7,0.000391,-165.61
31.8,0.000234,-165.58
31.9,0.000156,-165.39
32.0,7.81e-05,-165.38
32.1,7.81e-05,-164.66
32.2,0.0,-164.12
32.3,0.0,-163.76
32.4,0.0,-162.71
32.5,0.0,-160.77
32.6,7.81e-05,-157.78
32.7,7.81e-05,-154.05
32.8,0.000156,-149.31
32.9,0.000156,-144.33
33.0,0.000234,-138.51
33.1,0.000312,-131.29
33.2,0.000391,-123.14
33.3,0.000469,-114.31
33.4,0.000625,-104.07
33.5,0.000703,-92.93
33.6,0.000859,-81.61
33.7,0.000937,-70.3
33.8,0.00109,-57.56
33.9,0.00125,-44.64
34.0,0.00141,-30.12
34.1,0.00164,-14.34
34.2,0.00179,0.72
34.3,0.00203,16.68
34.4,0.00234,32.98
34.5,0.00257,48.08
34.6,0.00296,63.74
34.7,0.00335,78.32
34.8,0.00374,90.63
34.9,0.00421,102.08
35.0,0.00467,111.56
35.1,0.00514,120.17
35.2,0.00561,127.2
35.3,0.00615,133.16
35.4,0.00661,138.59
35.5,0.00716,143.51
35.6,0.0077,147.71
35.7,0.00824,151.56
35.8,0.00878,155.07
35.9,0.00917,156.74
36.0,0.00947,158.6
36.1,0.00986,160.47
36.2,0.0101,161.24
36.3,0.0104,162.93
36.4,0.0107,163.69
36.5,0.0109,163.92
36.6,0.0111,164.87
36.7,0.0112,165.43
36.8,0.0114,165.83
36.9,0.0115,165.48
37.0,0.0116,164.4
37.1,0.0116,164.07
37.2,0.0116,163.72
37.3,0.0116,161.91
37.4,0.0116,159.75
37.5,0.0116,157.78
37.6,0.0116,155.09
37.7,0.0115,151.82
37.8,0.0115,146.8
37.9,0.0114,141.04
38.0,0.0113,134.41
38.1,0.0112,127.22
38.2,0.0112,118.94
38.3,0.011,109.41
38.4,0.0109,99.01
38.5,0.0108,88.59
38.6,0.0107,77.27
38.7,0.0106,64.0
38.8,0.0104,49.65
38.9,0.0102,35.11
39.0,0.01,20.43
39.1,0.00986,5.01
39.2,0.00963,-10.02
39.3,0.0094,-24.33
39.4,0.00917,-38.31
39.5,0.00886,-52.4
39.6,0.00847,-66.68
39.7,0.00808,-79.88
39.8,0.0077,-92.15
39.9,0.00723,-103.0
40.0,0.00669,-112.74
40.1,0.00623,-121.06
40.2,0.00568,-128.43
40.3,0.00514,-134.77
40.4,0.00467,-140.19
40.5,0.00413,-145.07
40.6,0.00366,-148.73
40.7,0.0032,-152.0
40.8,0.00273,-155.29
40.9,0.00242,-157.36
41.0,0.00203,-159.42
41.1,0.00172,-160.93
41.2,0.00141,-162.12
41.3,0.00117,-163.12
41.4,0.000937,-164.15
41.5,0.000703,-164.98
41.6,0.000547,-165.31
41.7,0.000391,-165.61
41.8,0.000234,-166.13
41.9,0.000156,-165.92
42.0,7.81e-05,-166.26
42.1,0.0,-165.2
42.2,0.0,-163.95
42.3,0.0,-163.43
42.4,0.0,-162.71
42.5,0.0,-160.22
42.6,7.81e-05,-157.94
42.7,7.81e-05,-154.6
42.8,0.000156,-149.64
42.9,0.000156,-144.0
43.0,0.000234,-137.99
43.1,0.000312,-130.21
43.2,0.000391,-121.57
43.3,0.000469,-113.09
43.4,0.000625,-103.02
43.5,0.000703,-91.88
43.6,0.000859,-80.2
43.7,0.00102,-68.01
43.8,0.00109,-56.51
43.9,0.00125,-43.04
44.0,0.00141,-29.4
44.1,0.00164,-14.54
44.2,0.00179,0.89
44.3,0.00203,16.48
44.4,0.00226,31.93
44.5,0.00257,47.55
44.6,0.00296,63.19
44.7,0.00327,77.26
44.8,0.00366,89.57
44.9,0.00413,100.98
45.0,0.0046,111.02
45.1,0.00514,120.0
45.2,0.00568,127.74
