time,x,y
0.0001,1e-05,2.26
0.1,9.9995e-05,4.99
0.2,9.9995e-05,8.84
0.3,9.9995e-05,13.37
0.4,0.00019998,18.57
0.5,0.00019998,24.69
0.6,0.000299955,30.57
0.7,0.00039992,37.36
0.8,0.00039992,43.94
0.9,0.000499875,50.96
1.0,0.00059982,58.21
1.1,0.000699755,65.23
1.2,0.00079968,72.7
1.3,0.0009995,80.44
1.4,0.001099395,87.7
1.5,0.001299156,94.73
1.6,0.001399021,102.0
1.7,0.001598721,108.82
1.8,0.001698557,114.96
1.9,0.001898197,120.87
2.0,0.002097798,127.02
2.1,0.002297359,132.72
2.2,0.00249688,137.96
2.3,0.002596626,142.97
2.4,0.002895803,147.77
2.5,0.003095205,151.91
2.6,0.003294567,155.56
2.7,0.003493889,159.0
2.8,0.003693172,161.77
2.9,0.003992021,164.76
3.0,0.004290781,166.87
3.1,0.004589452,168.49
3.2,0.004788517,169.66
3.3,0.004888034,170.81
3.4,0.005087039,172.44
3.5,0.005385472,173.88
3.6,0.00548493,174.33
3.7,0.005683816,175.5
3.8,0.005882663,176.67
3.9,0.005982072,177.15
4.0,0.006180859,177.86
4.1,0.006379607,179.04
4.2,0.006478966,179.98
4.3,0.006776984,181.64
4.4,0.006975614,182.14
4.5,0.007074914,182.37
4.6,0.007273484,182.4
4.7,0.007372754,183.35
4.8,0.007472015,183.12
4.9,0.007571265,183.39
5.0,0.007571265,183.14
5.7,0.009752291,194.96
5.8,0.010247316,196.45
5.9,0.010841023,198.61
6.0,0.01133551,199.64
6.1,0.011829752,201.1
6.2,0.01222497,202.32
6.3,0.012718772,203.82
6.4,0.013212331,205.07
6.5,0.013607003,205.83
6.6,0.013902905,206.1
6.7,0.014198719,207.1
6.8,0.01439588,207.61
6.9,0.014691549,207.88
7.0,0.014790085,208.37
7.1,0.01498713,208.41
7.2,0.015085637,207.75
7.3,0.015184135,207.98
7.4,0.015282624,207.32
7.5,0.015282624,205.71
7.6,0.015282624,204.77
7.7,0.015282624,203.41
