<<<<<<< HEAD
strain(%),stress(MPa),stress_alpha,stress_beta,strain_t,stress_t,strain
0.00332033,14.2491,6.467458349939642,7.782114767202388,3.320274878253148e-05,14.24957311714203,3.32033e-05
0.00694198,17.7214,8.043775896399163,9.678854319644556,6.941739055716219e-05,17.72263021604372,6.941980000000001e-05
0.0102768,20.9546,9.511648458053935,11.445105004278869,0.00010276271973093304,20.956753462332802,0.000102768
0.0136909,24.2279,10.997830288747386,13.233386728813718,0.00013689962881825637,24.231217017561104,0.000136909
0.0173962,27.8198,12.628778150644855,15.195861437402746,0.00017394687036598983,27.824639588047603,0.000173962
0.0208882,30.9792,14.063476496611608,16.92219450064279,0.0002088601871924307,30.985670997254395,0.000208882
0.0247258,34.6148,15.714515027506724,18.908843758711676,0.00024722743677853184,34.6233587862184,0.000247258
0.0282055,37.8515,17.184518134669766,20.677658070162735,0.00028201522996653956,37.8621762048325,0.000282055
0.0316611,41.1207,18.66937443975747,22.46434482619023,0.0003165608893140346,41.1337192659477,0.00031661099999999995
0.0350271,44.296,20.1116818894885,24.199833714727507,0.0003502096694344758,44.311515604216005,0.000350271
0.0382967,47.4252,21.533134154058033,25.91022813251036,0.00038289368685549125,47.443362286568394,0.000382967
0.0417997,50.9695,23.143213167914137,27.847591930177362,0.0004179096635907226,50.9908050980915,0.00041799700000000003
0.0451815,54.4497,24.724268664046143,29.75003252715936,0.00045171296233640626,54.4743011912055,0.000451815
0.0485805,57.9656,26.321646559706206,31.6721134186018,0.0004856870349548417,57.993759978308006,0.00048580499999999996
0.0522104,62.0313,28.16886555529275,33.89482123456245,0.0005219677511286618,62.063686789855204,0.000522104
0.0558542,66.0218,29.982072574040167,36.07660337417545,0.0005583860734754756,66.05867594821561,0.000558542
0.0593766,72.0774,32.73321713995346,39.386979969534934,0.0005935897907164995,72.12019710948839,0.000593766
0.0629037,75.9138,34.476694391299006,41.48485819771158,0.0006288392391545057,75.9615525890106,0.000629037
0.0665513,79.3863,36.05506475998677,43.38406785468514,0.0006652916444279289,79.4391326146719,0.000665513
0.0698402,82.5022,37.47145201532668,45.08836768615772,0.0006981582308158943,82.5598197014844,0.0006984020000000001
0.0734822,86.3817,39.234899557492916,47.21027561606448,0.0007345521505003783,86.4451751735574,0.000734822
0.0768172,90.6262,41.16413951250724,49.53167699679914,0.0007678771068985274,90.69581650930638,0.000768172
0.0803394,94.3567,42.860111799186136,51.57239380745367,0.0008030714517844235,94.43250560663981,0.000803394
0.08412,98.0788,44.552502678018804,53.608801208541195,0.0008408463895708202,98.16130388656,0.0008412
0.087956,101.944,46.3100528588726,55.723613005767405,0.0008791734137704501,102.03366586464,0.00087956
0.0913238,105.326,47.848002360519665,57.57418534506834,0.0009128212518852817,105.422187705588,0.0009132379999999999
0.0946744,109.037,49.535511473711516,59.60471865181649,0.0009462961205616653,109.140230125528,0.000946744
0.0980437,112.63,51.169533818361494,61.5708928009485,0.0009799566855641867,112.74042661930999,0.000980437
0.101466,116.598,52.97406807829036,63.74223924838965,0.0010141455804867847,116.71630732668001,0.00101466
0.104874,120.274,54.646048657501765,65.75408749725825,0.0010481904563916526,120.40013615476002,0.00104874
0.108414,125.059,56.8221050976033,68.3724763666567,0.0010835527446364625,125.19458146425998,0.00108414
0.11202,128.925,58.580780124640114,70.4886416603599,0.0011195730441468544,129.069421785,0.0011202
0.115452,133.792,60.794325547788006,73.15213999205201,0.00115385405430065,133.94646553984,0.00115452
0.118852,137.585,62.5199663784501,75.22855614574989,0.001187814269232788,137.74852252419998,0.00118852
0.122339,142.515,64.76246198676826,77.92688943908175,0.0012226422682369048,142.68935142585,0.00122339
0.12573,146.484,66.56833162395166,80.09984270924832,0.0012565102602455685,146.6681743332,0.0012573
0.129051,151.696,68.93916449890929,82.9526007060507,0.0012896780076893115,151.89176520496,0.00129051
0.132383,154.838,70.36940700719197,84.67357218234804,0.001322954509647325,155.04297918954,0.00132383
0.135726,158.948,72.2396952152473,86.92403854723273,0.0013563397552263962,159.16373376248,0.00135726
0.139025,164.389,74.71501683282499,89.90252497442502,0.0013892844972253457,164.61754180725,0.00139025
0.142439,167.445,76.1065674369783,91.57693954657172,0.0014233765188446919,167.68350698355,0.0014243900000000002
0.145718,170.797,77.63264965845157,93.41323231400843,0.0014561193434771491,171.04588197246,0.0014571799999999998
0.149209,174.292,79.2239995165938,95.32805983368618,0.0014909779397744214,174.55205935028,0.0014920900000000002
0.152505,177.769,80.80712065374809,97.2329859597019,0.001523888292206998,178.04010661344998,0.00152505
0.156089,180.783,82.18011276687987,98.88506960999013,0.0015596730773608826,181.06518237686998,0.00156089
0.159489,183.725,83.52031866083469,100.4977025044153,0.0015936195136219253,184.01802116525,0.0015948899999999998
0.162977,186.134,84.61838276577751,101.8189728434025,0.0016284433660834813,186.43735560918,0.00162977
0.166444,188.318,85.6142143773039,103.01722963461613,0.0016630563548600782,188.63144401192002,0.00166444
0.170155,190.105,86.42983257800908,103.99864058474093,0.001700104003856141,190.42847316274998,0.00170155
0.171313,190.626,86.66770327126389,104.28486384811613,0.0017116642665573607,190.95256711938,0.00171313
0.174592,191.984,87.28797225155382,105.03121645372619,0.0017443976533496124,192.31918870528003,0.00174592
0.175514,192.303,87.43381439426176,105.20670429315824,0.0017536015416669821,192.64051868741998,0.00175514
0.176371,192.61,87.57414633046157,105.37556185263846,0.001762156489877376,192.94970818310003,0.00176371
0.177412,192.905,87.7091856575137,105.53805096108633,0.0017725481079883352,193.24723661860003,0.00177412
0.178214,193.192,87.84038076501238,105.69591442586763,0.0017805538726978615,193.53629519088,0.0017821400000000002
0.179292,193.469,87.96727348881284,105.84860095066716,0.0017913146375080323,193.81587443947998,0.0017929200000000001
0.180189,193.738,88.09037225464127,105.99672231017877,0.001800268543712419,194.08709456482,0.0018018899999999998
0.181246,194.005,88.21270471132668,106.1439215909733,0.0018108194763307944,194.3566263023,0.00181246
0.182163,194.266,88.33218810317584,106.28769267040416,0.0018199728442494516,194.61988077358,0.0018216299999999999
0.183285,194.516,88.44685293796155,106.42566571263845,0.0018311723800098244,194.8725186506,0.00183285
