element_id,grainID
52, 0
63, 0
64, 0
184, 0
185, 0
186, 0
195, 0
197, 0
207, 0
208, 0
215, 0
295, 0
296, 0
298, 0
305, 0
306, 0
307, 0
308, 0
314, 0
315, 0
316, 0
317, 0
318, 0
324, 0
325, 0
327, 0
328, 0
329, 0
337, 0
408, 0
416, 0
417, 0
418, 0
419, 0
420, 0
425, 0
426, 0
427, 0
428, 0
429, 0
430, 0
431, 0
436, 0
437, 0
438, 0
439, 0
440, 0
441, 0
445, 0
446, 0
447, 0
448, 0
449, 0
450, 0
451, 0
456, 0
457, 0
458, 0
459, 0
461, 0
529, 0
537, 0
538, 0
539, 0
540, 0
541, 0
547, 0
548, 0
549, 0
550, 0
551, 0
552, 0
553, 0
555, 0
556, 0
557, 0
558, 0
559, 0
560, 0
561, 0
562, 0
566, 0
568, 0
569, 0
570, 0
571, 0
572, 0
573, 0
577, 0
578, 0
579, 0
580, 0
583, 0
614, 0
615, 0
650, 0
657, 0
659, 0
660, 0
661, 0
667, 0
668, 0
669, 0
670, 0
671, 0
672, 0
673, 0
674, 0
677, 0
678, 0
679, 0
680, 0
681, 0
682, 0
685, 0
687, 0
688, 0
689, 0
690, 0
691, 0
692, 0
694, 0
695, 0
698, 0
701, 0
702, 0
703, 0
704, 0
724, 0
725, 0
771, 0
778, 0
779, 0
780, 0
781, 0
789, 0
790, 0
791, 0
793, 0
795, 0
799, 0
800, 0
801, 0
802, 0
803, 0
804, 0
810, 0
811, 0
812, 0
813, 0
814, 0
815, 0
816, 0
821, 0
822, 0
824, 0
825, 0
889, 0
910, 0
922, 0
923, 0
931, 0
933, 0
934, 0
936, 0
946, 0
1046, 0
1055, 0
1056, 0
1262, 0
1273, 0
1274, 0
3, 1
4, 1
5, 1
6, 1
7, 1
8, 1
17, 1
18, 1
19, 1
102, 1
104, 1
113, 1
114, 1
115, 1
116, 1
117, 1
118, 1
124, 1
125, 1
126, 1
127, 1
128, 1
138, 1
139, 1
224, 1
225, 1
234, 1
235, 1
236, 1
237, 1
238, 1
246, 1
247, 1
248, 1
249, 1
259, 1
268, 1
345, 1
346, 1
356, 1
357, 1
358, 1
359, 1
370, 1
480, 1
606, 1
616, 1
716, 1
726, 1
728, 1
838, 1
850, 1
851, 1
852, 1
853, 1
854, 1
865, 1
876, 1
877, 1
960, 1
961, 1
962, 1
963, 1
964, 1
969, 1
970, 1
971, 1
972, 1
973, 1
974, 1
975, 1
976, 1
977, 1
979, 1
981, 1
986, 1
987, 1
995, 1
997, 1
998, 1
1070, 1
1072, 1
1079, 1
1080, 1
1081, 1
1082, 1
1083, 1
1084, 1
1085, 1
1086, 1
1087, 1
1089, 1
1090, 1
1091, 1
1092, 1
1093, 1
1094, 1
1095, 1
1096, 1
1097, 1
1098, 1
1100, 1
1102, 1
1106, 1
1107, 1
1108, 1
1194, 1
1200, 1
1201, 1
1202, 1
1203, 1
1204, 1
1205, 1
1206, 1
1207, 1
1208, 1
1210, 1
1213, 1
1214, 1
1215, 1
1216, 1
1217, 1
1218, 1
1227, 1
1228, 1
1229, 1
1312, 1
1314, 1
1323, 1
1324, 1
1325, 1
1326, 1
1327, 1
1328, 1
21, 2
29, 2
30, 2
31, 2
144, 2
150, 2
151, 2
152, 2
153, 2
154, 2
161, 2
262, 2
265, 2
266, 2
270, 2
271, 2
272, 2
273, 2
274, 2
275, 2
277, 2
281, 2
282, 2
283, 2
380, 2
381, 2
382, 2
383, 2
384, 2
386, 2
388, 2
390, 2
391, 2
392, 2
393, 2
394, 2
395, 2
396, 2
402, 2
403, 2
404, 2
502, 2
503, 2
504, 2
507, 2
513, 2
514, 2
515, 2
516, 2
517, 2
519, 2
523, 2
524, 2
525, 2
624, 2
634, 2
635, 2
636, 2
637, 2
646, 2
745, 2
755, 2
757, 2
767, 2
878, 2
1231, 2
1239, 2
1240, 2
1241, 2
50, 3
59, 3
60, 3
61, 3
62, 3
170, 3
171, 3
172, 3
180, 3
181, 3
182, 3
183, 3
190, 3
291, 3
300, 3
301, 3
302, 3
303, 3
304, 3
312, 3
313, 3
412, 3
422, 3
423, 3
424, 3
432, 3
434, 3
542, 3
543, 3
544, 3
545, 3
554, 3
665, 3
686, 3
1260, 3
1269, 3
1270, 3
1271, 3
1272, 3
79, 4
80, 4
81, 4
805, 4
806, 4
807, 4
817, 4
818, 4
819, 4
915, 4
916, 4
926, 4
927, 4
928, 4
937, 4
938, 4
939, 4
940, 4
1036, 4
1037, 4
1038, 4
1047, 4
1048, 4
1049, 4
1057, 4
1058, 4
1059, 4
1060, 4
1061, 4
1067, 4
1156, 4
1157, 4
1158, 4
1166, 4
1167, 4
1168, 4
1169, 4
1170, 4
1177, 4
1179, 4
1180, 4
1181, 4
1182, 4
1289, 4
1290, 4
1291, 4
666, 5
675, 5
676, 5
765, 5
766, 5
776, 5
786, 5
787, 5
788, 5
796, 5
797, 5
798, 5
809, 5
886, 5
887, 5
888, 5
896, 5
897, 5
898, 5
907, 5
908, 5
909, 5
917, 5
918, 5
919, 5
920, 5
929, 5
1007, 5
1008, 5
1009, 5
1018, 5
1019, 5
1028, 5
1029, 5
1030, 5
1031, 5
1039, 5
1040, 5
1041, 5
1051, 5
1139, 5
1140, 5
1150, 5
1151, 5
1152, 5
34, 6
35, 6
36, 6
39, 6
40, 6
41, 6
42, 6
43, 6
44, 6
53, 6
155, 6
160, 6
162, 6
163, 6
164, 6
165, 6
276, 6
278, 6
284, 6
285, 6
286, 6
999, 6
1000, 6
1003, 6
1004, 6
1010, 6
1011, 6
1121, 6
1123, 6
1124, 6
1125, 6
1129, 6
1130, 6
1131, 6
1132, 6
1133, 6
1244, 6
1245, 6
1246, 6
1249, 6
1250, 6
1251, 6
1252, 6
1253, 6
1254, 6
1263, 6
389, 7
498, 7
499, 7
500, 7
501, 7
510, 7
511, 7
512, 7
609, 7
610, 7
620, 7
621, 7
622, 7
623, 7
632, 7
633, 7
696, 7
697, 7
719, 7
720, 7
730, 7
731, 7
740, 7
741, 7
742, 7
743, 7
744, 7
752, 7
753, 7
754, 7
840, 7
841, 7
873, 7
874, 7
875, 7
468, 8
470, 8
588, 8
589, 8
590, 8
591, 8
612, 8
613, 8
699, 8
709, 8
710, 8
711, 8
712, 8
713, 8
722, 8
723, 8
733, 8
734, 8
820, 8
829, 8
830, 8
831, 8
832, 8
833, 8
834, 8
843, 8
844, 8
855, 8
941, 8
949, 8
950, 8
951, 8
952, 8
953, 8
954, 8
955, 8
965, 8
1073, 8
1074, 8
1075, 8
400, 9
401, 9
409, 9
410, 9
411, 9
520, 9
522, 9
530, 9
531, 9
532, 9
533, 9
641, 9
642, 9
643, 9
644, 9
651, 9
652, 9
653, 9
654, 9
655, 9
664, 9
762, 9
763, 9
764, 9
772, 9
773, 9
774, 9
775, 9
882, 9
883, 9
884, 9
894, 9
895, 9
56, 10
57, 10
58, 10
65, 10
66, 10
177, 10
179, 10
187, 10
662, 10
663, 10
782, 10
783, 10
784, 10
792, 10
903, 10
904, 10
905, 10
906, 10
911, 10
912, 10
913, 10
1024, 10
1025, 10
1026, 10
1027, 10
1032, 10
1033, 10
1034, 10
1145, 10
1146, 10
1147, 10
1148, 10
1149, 10
1153, 10
1154, 10
1155, 10
1266, 10
1267, 10
1268, 10
1275, 10
1276, 10
67, 11
68, 11
77, 11
90, 11
188, 11
189, 11
198, 11
199, 11
200, 11
201, 11
202, 11
209, 11
211, 11
309, 11
310, 11
319, 11
320, 11
321, 11
322, 11
330, 11
333, 11
442, 11
443, 11
444, 11
453, 11
454, 11
563, 11
564, 11
574, 11
576, 11
684, 11
1277, 11
1278, 11
1287, 11
1300, 11
100, 12
101, 12
108, 12
109, 12
110, 12
229, 12
230, 12
727, 12
735, 12
736, 12
737, 12
837, 12
845, 12
846, 12
847, 12
848, 12
856, 12
857, 12
858, 12
947, 12
956, 12
957, 12
958, 12
966, 12
967, 12
968, 12
978, 12
1068, 12
1069, 12
1076, 12
1077, 12
1078, 12
1088, 12
1099, 12
1189, 12
1196, 12
1197, 12
1198, 12
1199, 12
1209, 12
1310, 12
1311, 12
1318, 12
1319, 12
1320, 12
406, 13
518, 13
526, 13
527, 13
528, 13
628, 13
638, 13
639, 13
647, 13
648, 13
649, 13
658, 13
749, 13
758, 13
759, 13
768, 13
769, 13
870, 13
879, 13
880, 13
94, 14
95, 14
96, 14
97, 14
216, 14
942, 14
1062, 14
1063, 14
1064, 14
1065, 14
1066, 14
1183, 14
1184, 14
1185, 14
1186, 14
1187, 14
1304, 14
1305, 14
1306, 14
1307, 14
210, 15
220, 15
221, 15
222, 15
223, 15
231, 15
331, 15
341, 15
342, 15
343, 15
344, 15
351, 15
352, 15
452, 15
455, 15
462, 15
463, 15
464, 15
465, 15
467, 15
472, 15
473, 15
575, 15
24, 16
145, 16
267, 16
739, 16
750, 16
861, 16
871, 16
881, 16
890, 16
891, 16
983, 16
991, 16
992, 16
994, 16
1001, 16
1002, 16
1012, 16
1112, 16
1113, 16
1122, 16
1234, 16
1, 17
2, 17
11, 17
12, 17
13, 17
22, 17
111, 17
112, 17
121, 17
122, 17
123, 17
132, 17
133, 17
142, 17
143, 17
232, 17
233, 17
242, 17
243, 17
244, 17
245, 17
253, 17
254, 17
256, 17
264, 17
353, 17
354, 17
355, 17
363, 17
364, 17
365, 17
374, 17
375, 17
