element_id,Stress
1, -317.72464
1, -312.8983
1, -326.82553
1, -329.3693
1, -326.2314
1, -313.95706
1, -324.60355
1, -324.95633
2, -318.26514
2, -301.88965
2, -328.85236
2, -329.2874
2, -326.85532
2, -307.62982
2, -326.38135
2, -312.4593
3, -290.92828
3, -322.4551
3, -319.40747
3, -299.94363
3, -319.46146
3, -339.47583
3, -348.30017
3, -340.33453
4, -318.07144
4, -301.068
4, -336.0518
4, -313.21652
4, -333.13358
4, -310.4732
4, -363.73892
4, -351.44662
5, -307.34747
5, -330.9346
5, -304.16815
5, -317.0674
5, -318.4159
5, -347.41428
5, -316.18143
5, -324.42682
6, -369.79642
6, -371.45697
6, -347.19278
6, -349.2173
6, -374.968
6, -367.94022
6, -345.38873
6, -342.3471
7, -357.09128
7, -330.23853
7, -333.2346
7, -301.4664
7, -367.5295
7, -349.17007
7, -343.36917
7, -323.75797
8, -341.6778
8, -395.8246
8, -329.21423
8, -391.00317
8, -371.28473
8, -415.84262
8, -370.0761
8, -418.61523
9, -327.78522
9, -324.17352
9, -339.7991
9, -346.15482
9, -335.6841
9, -330.03592
9, -331.0236
9, -329.91623
10, -369.5062
10, -380.82663
10, -379.08374
10, -376.6217
10, -387.9713
10, -413.58688
10, -401.15167
10, -410.8249
11, -355.91327
11, -299.69904
11, -344.05762
11, -338.52585
11, -355.71634
11, -324.56348
11, -348.57898
11, -338.4786
12, -337.4925
12, -324.0646
12, -331.11832
12, -323.78983
12, -330.6379
12, -312.91663
12, -327.12634
12, -295.27646
13, -313.00317
13, -302.1651
13, -335.61157
13, -330.3343
13, -322.3578
13, -301.9684
13, -337.1678
13, -338.24936
14, -306.3007
14, -350.61606
14, -333.51056
14, -351.5721
14, -304.24536
14, -347.91837
14, -326.5627
14, -345.1769
15, -312.1267
15, -307.51187
15, -339.56036
15, -306.2681
15, -307.4368
15, -315.5181
15, -325.62967
15, -312.80905
16, -292.57114
16, -288.04416
16, -315.78796
16, -315.4418
16, -300.49655
16, -300.50604
16, -314.40292
16, -323.9684
17, -408.12466
17, -388.47064
17, -406.18445
17, -366.8223
17, -402.99945
17, -391.74036
17, -409.55887
17, -373.23648
18, -393.67593
18, -365.2467
18, -362.9386
18, -359.9425
18, -404.27512
18, -385.97723
18, -391.95224
18, -385.6524
19, -314.84067
19, -307.394
19, -321.43497
19, -306.96692
19, -338.08145
19, -329.16437
19, -326.20135
19, -321.23138
20, -468.9204
20, -409.07233
20, -454.80554
20, -405.02182
20, -487.38104
20, -422.14902
20, -434.24234
20, -401.93472
21, -249.6802
21, -314.02603
21, -295.18665
21, -400.70206
21, -294.91678
21, -330.99338
21, -323.38696
21, -369.81613
22, -407.04404
22, -382.2751
22, -368.49484
22, -356.69318
22, -393.53333
22, -364.90305
22, -374.75482
22, -358.49396
23, -411.92767
23, -413.1221
23, -413.83984
23, -422.42453
23, -437.45
23, -435.02042
23, -429.53366
23, -423.78262
24, -275.44336
24, -295.34598
24, -306.78845
24, -317.18658
24, -287.39233
24, -314.3711
24, -296.50525
24, -321.69485
25, -353.24127
25, -398.26477
25, -380.83902
25, -403.42365
25, -381.32993
25, -401.1291
25, -386.7167
25, -396.84912
26, -324.31613
26, -318.91815
26, -255.91711
26, -273.43344
26, -337.8341
26, -321.05505
26, -283.0284
26, -313.6583
27, -289.20038
27, -285.0162
27, -285.40686
27, -274.4246
27, -292.95886
27, -279.2141
27, -276.45108
27, -269.36395
28, -344.96237
28, -355.04666
28, -357.9098
28, -362.3688
28, -331.0128
28, -349.80203
28, -353.94705
28, -362.3265
29, -351.03973
29, -340.17743
29, -406.04965
29, -382.71643
29, -361.80328
29, -354.41553
29, -387.38028
29, -397.41714
30, -359.45456
30, -353.36365
30, -389.12195
30, -373.16635
30, -353.83002
30, -360.87384
30, -384.81458
30, -395.7374
31, -377.8676
31, -340.37634
31, -335.16815
31, -315.4932
31, -355.42737
31, -353.5039
31, -344.6503
31, -338.17188
32, -355.52744
32, -386.41986
32, -340.80124
32, -379.53204
32, -386.01654
32, -402.45132
32, -363.16025
32, -388.4881
33, -435.84665
33, -396.26816
33, -442.06122
33, -409.58716
33, -436.68588
33, -402.27115
33, -468.9926
33, -435.385
34, -366.7369
34, -365.64743
34, -374.0534
34, -364.90927
34, -359.58594
34, -359.27615
34, -375.91003
34, -367.5576
35, -337.19998
35, -347.35333
35, -327.8342
35, -332.349
35, -320.55817
35, -322.97928
35, -327.3949
35, -318.86316
36, -332.67554
36, -324.7857
36, -347.91266
36, -336.62225
36, -323.03476
36, -322.31302
36, -332.04437
36, -333.84717
37, -363.32455
37, -373.51123
37, -397.4761
37, -384.437
37, -377.1757
37, -385.10876
37, -399.33505
37, -376.9068
38, -281.91214
38, -309.06113
38, -282.2959
38, -277.8059
38, -282.25128
38, -300.3208
38, -295.2232
38, -301.94598
39, -320.33728
39, -320.2962
39, -276.82596
39, -302.35947
39, -317.04956
39, -315.43628
39, -269.43164
39, -301.28265
40, -369.28915
40, -373.69873
40, -364.3487
40, -372.02597
40, -340.93396
40, -358.9666
40, -358.1647
40, -364.5166
41, -382.05765
41, -365.30875
41, -374.22153
41, -341.37155
41, -384.33762
41, -376.09924
41, -374.52222
41, -359.6023
42, -372.8962
42, -383.33884
42, -379.56094
42, -392.61902
42, -377.38644
42, -381.5837
42, -381.31723
42, -386.3914
43, -374.25534
43, -373.13797
43, -373.9622
43, -367.53418
43, -364.09155
43, -365.09512
43, -368.24753
43, -361.34467
44, -400.00674
44, -412.75012
44, -407.52295
44, -415.34213
44, -391.29547
44, -407.159
44, -398.005
44, -411.80582
45, -382.72086
45, -371.76135
45, -381.7221
45, -375.98486
45, -379.77133
45, -380.7022
45, -381.69733
45, -383.70193
46, -366.5757
46, -367.9318
46, -361.77496
46, -370.16092
46, -372.32034
46, -370.2607
46, -362.27777
46, -366.5288
47, -401.2445
47, -401.69244
47, -396.46722
47, -392.91782
47, -400.9533
47, -401.33862
47, -398.3448
47, -395.29642
48, -377.9953
48, -341.97385
48, -379.3383
48, -354.40067
48, -385.09702
48, -361.34204
48, -384.03503
48, -370.4232
49, -372.88385
49, -368.0316
49, -362.73422
49, -358.8737
49, -389.81906
49, -377.098
49, -386.48776
49, -373.90625
50, -255.60905
50, -321.33508
50, -268.75064
50, -323.1295
50, -288.00644
50, -330.01822
50, -286.48853
50, -294.7785
51, -360.7155
51, -362.47623
51, -333.13232
51, -354.8542
51, -328.6783
51, -339.53012
51, -339.94363
51, -352.941
52, -378.77676
52, -379.3723
52, -370.54248
52, -384.96793
52, -375.22818
52, -386.50195
52, -362.178
52, -374.7204
53, -314.1097
53, -331.47827
53, -317.21014
53, -325.11047
53, -292.0343
53, -305.5911
53, -299.46527
53, -286.14703
54, -386.61392
54, -385.10287
54, -387.57794
54, -385.80722
54, -373.83167
54, -373.84427
54, -373.85458
54, -375.52567
55, -365.64117
55, -369.40598
55, -364.2049
55, -366.8093
55, -354.1125
55, -357.05515
55, -356.8942
55, -361.28323
56, -381.4937
56, -355.92892
56, -376.68378
56, -364.48392
56, -369.6821
56, -341.04752
56, -378.01196
56, -375.96896
57, -341.81802
57, -405.4814
57, -365.5039
57, -409.53085
57, -401.9737
57, -419.5512
57, -409.36337
57, -414.12863
58, -382.33307
58, -405.08707
58, -372.05786
58, -389.60553
58, -405.96878
58, -394.91705
58, -376.91092
58, -390.29153
59, -377.42163
59, -377.256
59, -353.77957
59, -362.01053
59, -374.01758
59, -381.5973
59, -356.5259
59, -364.70456
60, -404.01617
60, -377.46533
60, -395.8698
60, -381.7045
60, -390.6056
60, -368.7812
60, -390.76187
60, -375.0126
61, -316.95096
61, -312.6676
61, -351.89844
61, -339.54587
61, -319.62885
61, -314.9129
61, -348.18732
61, -342.87305
62, -328.73175
62, -342.30374
62, -326.42804
62, -326.83124
62, -343.62354
62, -347.7131
62, -339.64563
62, -328.5537
63, -331.18488
63, -335.27658
63, -362.84604
63, -370.228
63, -323.91367
63, -335.06003
63, -345.00412
63, -348.56
64, -360.90063
64, -360.90707
64, -344.5113
64, -323.6662
64, -346.35883
64, -361.97714
64, -330.90912
64, -337.0735
65, -441.7411
65, -391.4195
65, -400.26135
65, -346.07602
65, -432.707
65, -383.2965
65, -405.12305
65, -372.07538
66, -348.66675
66, -359.8181
66, -363.1068
66, -342.27997
66, -362.71033
66, -362.94016
66, -331.39606
66, -312.6358
67, -366.5922
67, -364.37302
67, -363.39948
67, -359.0458
67, -373.9596
67, -369.05222
67, -376.22644
67, -366.1579
68, -358.63843
68, -381.62564
68, -359.18246
68, -378.77097
68, -368.7453
68, -392.94498
68, -379.84607
68, -397.24423
69, -420.77975
69, -375.85516
69, -362.34155
69, -325.4143
69, -445.45996
69, -430.84454
69, -404.45236
69, -378.86325
70, -341.376
70, -330.86572
70, -312.51114
70, -343.71683
70, -393.28412
70, -387.42197
70, -347.25446
70, -349.5452
71, -384.45306
71, -357.7094
71, -411.45667
71, -378.25888
71, -395.20007
71, -355.3284
71, -423.78693
71, -365.68985
72, -344.6964
72, -347.46478
72, -368.66537
72, -362.9775
72, -349.61905
72, -352.37952
72, -380.41367
72, -372.17682
73, -340.50876
73, -348.37823
73, -284.05566
73, -313.86005
73, -308.87314
73, -324.8479
73, -293.68323
73, -323.37546
74, -337.71902
74, -363.96103
74, -359.25793
74, -355.1382
74, -387.60605
74, -397.8771
74, -388.18784
74, -405.53104
75, -387.76886
75, -398.90045
75, -394.98148
75, -414.9024
75, -393.85056
75, -400.57233
75, -391.8902
75, -388.68655
76, -392.37057
76, -378.13168
76, -374.232
76, -359.46436
76, -385.24637
76, -373.14462
76, -379.82986
76, -367.36835
77, -384.98328
77, -387.43542
77, -381.02975
77, -385.20486
77, -392.20813
77, -397.10547
77, -392.1473
77, -394.27353
78, -379.5081
78, -429.5005
78, -417.1758
78, -451.7559
78, -414.92725
78, -458.93326
78, -401.36414
78, -469.3598
79, -284.88574
79, -309.64725
79, -328.26755
79, -346.4748
79, -320.95877
79, -341.92322
79, -340.75793
79, -362.61865
80, -312.18765
80, -313.8894
80, -343.6553
80, -346.52213
80, -314.1506
80, -321.13483
80, -350.84073
80, -351.1784
81, -316.2148
81, -329.75162
81, -342.51065
81, -350.24524
81, -343.63852
81, -352.44308
81, -355.91653
81, -361.2126
82, -434.69165
82, -400.66788
